"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例14：我的页面-关注头像",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例12：我的页面-关注",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例5：我的页面-头像框",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例101：我的任务-男-已完成未领取奖励",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例6：我的页面-国家",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例97：我的任务-男-Top Offers入口",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例93：我的任务-兑换奖励按钮",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例119：我的简介-头像",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例19：我的页面-签到入口",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例89，90,91，92：我的任务-有奖励红点或积分",""
"passed","Thu Jun 15 14:21:03 CST 2023","Thu Jun 15 14:21:20 CST 2023","17411","","test_mypage","TestMyPage","","","用例3和4：我的页面-等级",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例100：我的任务-男-开通月卡",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例16,18：我的页面-朋友头像",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例21：我的页面-签到成功",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例88：我的等级-等级横条",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例7和8：我的页面-语言",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例98-99：我的任务-男-每日&月任务",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例85-86：我的等级外部显示和内部跳转",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例22-23-24：我的页面-去签到-跳转页面",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例87：我的等级-男-立即充值",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例15：我的页面-朋友",""
"passed","Thu Jun 15 14:20:56 CST 2023","Thu Jun 15 14:21:03 CST 2023","6941","","test_mypage","TestMyPage","","","用例2：我的页面-顶部空白区域",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例11：我的页面-粉丝头像",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例102：我的任务-男-未完成奖励",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例118：我的简介-入口",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例9：我的页面-粉丝",""
"passed","Thu Jun 15 14:20:50 CST 2023","Thu Jun 15 14:20:56 CST 2023","5568","","test_mypage","TestMyPage","","","用例1：我的页面-个人头像-个人主页",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例120：我的简介-头像",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例20：我的页面-签到弹窗消失",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例95：我的任务-男-签到入口",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例96：我的任务-男-邀请入口",""
"skipped","Thu Jun 15 14:21:20 CST 2023","Thu Jun 15 14:21:20 CST 2023","0","","test_mypage","TestMyPage","","","用例94：我的任务-男-通行证历史",""
