"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 25 17:57:04 CST 2023","Fri Aug 25 17:57:04 CST 2023","221","","test_10party_mult","Test_multchamet","","","用例123：主播端群聊页面检查拍摄图片",""
"passed","Fri Aug 25 17:32:18 CST 2023","Fri Aug 25 17:32:21 CST 2023","2898","","test_10party_mult","Test_multchamet","","","用例28：主播端消息区聊天消息可下滑",""
"passed","Fri Aug 25 17:36:39 CST 2023","Fri Aug 25 17:37:22 CST 2023","43311","","test_10party_mult","Test_multchamet","","","用例50：主播端从交友位移除嘉宾",""
"passed","Fri Aug 25 17:55:48 CST 2023","Fri Aug 25 17:55:49 CST 2023","501","","test_10party_mult","Test_multchamet","","","用例117：主播端群聊页面检查并播放语音消息",""
"passed","Fri Aug 25 17:31:40 CST 2023","Fri Aug 25 17:31:41 CST 2023","1646","","test_10party_mult","Test_multchamet","","","用例23：主播端查看观众端发言",""
"passed","Fri Aug 25 18:01:03 CST 2023","Fri Aug 25 18:01:06 CST 2023","2805","","test_10party_mult","Test_multchamet","","","用例153：10人交友房观众端打开banner",""
"broken","Fri Aug 25 17:50:01 CST 2023","Fri Aug 25 17:50:11 CST 2023","10699","","test_10party_mult","Test_multchamet","","","用例96：观众私聊界面发拨打视频聊天",""
"passed","Fri Aug 25 17:36:34 CST 2023","Fri Aug 25 17:36:39 CST 2023","4731","","test_10party_mult","Test_multchamet","","","用例49：主播端同意观众上麦申请(右上角列表)",""
"passed","Fri Aug 25 17:35:04 CST 2023","Fri Aug 25 17:35:04 CST 2023","745","","test_10party_mult","Test_multchamet","","","用例40：主播端申请上麦未读消息检查",""
"skipped","Fri Aug 25 17:44:48 CST 2023","Fri Aug 25 17:45:12 CST 2023","23418","","test_10party_mult","Test_multchamet","","","用例70：通过半屏浮窗查看主播动态",""
"passed","Fri Aug 25 17:43:26 CST 2023","Fri Aug 25 17:44:03 CST 2023","37799","","test_10party_mult","Test_multchamet","","","用例67：观众通过半屏浮窗@主播",""
"passed","Fri Aug 25 17:31:58 CST 2023","Fri Aug 25 17:32:14 CST 2023","15902","","test_10party_mult","Test_multchamet","","","用例26：观众端消息区聊天消息可下滑",""
"passed","Fri Aug 25 17:56:04 CST 2023","Fri Aug 25 17:56:04 CST 2023","262","","test_10party_mult","Test_multchamet","","","用例119：观众端群聊页面检查相册图片",""
"passed","Fri Aug 25 17:32:32 CST 2023","Fri Aug 25 17:32:44 CST 2023","12874","","test_10party_mult","Test_multchamet","","","用例32：主播端滑动送礼弹窗",""
"passed","Fri Aug 25 17:51:11 CST 2023","Fri Aug 25 17:51:12 CST 2023","1300","","test_10party_mult","Test_multchamet","","","用例100：主播端检查私聊页面送礼",""
"passed","Fri Aug 25 17:35:04 CST 2023","Fri Aug 25 17:35:12 CST 2023","7672","","test_10party_mult","Test_multchamet","","","用例41：主播端同意观众上麦申请",""
