"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 11:31:30 CST 2023","Fri Jul 21 11:31:40 CST 2023","9420","","test_10party_mult","Test_multchamet","","","用例24：观众端发送文字正常向前滚动",""
"passed","Fri Jul 21 11:32:26 CST 2023","Fri Jul 21 11:32:38 CST 2023","12223","","test_10party_mult","Test_multchamet","","","用例32：主播端滑动送礼弹窗",""
"passed","Fri Jul 21 11:31:21 CST 2023","Fri Jul 21 11:31:22 CST 2023","1258","","test_10party_mult","Test_multchamet","","","用例21：观众端查看主播端发言",""
"passed","Fri Jul 21 12:00:02 CST 2023","Fri Jul 21 12:00:10 CST 2023","8083","","test_10party_mult","Test_multchamet","","","用例131：观众端打开赛车游戏",""
"passed","Fri Jul 21 11:54:34 CST 2023","Fri Jul 21 11:55:14 CST 2023","40142","","test_10party_mult","Test_multchamet","","","用例98：主播在交友房给观众发私信消息",""
"passed","Fri Jul 21 11:34:38 CST 2023","Fri Jul 21 11:34:52 CST 2023","14242","","test_10party_mult","Test_multchamet","","","用例38：观众端滑动送礼弹窗",""
"passed","Fri Jul 21 11:42:52 CST 2023","Fri Jul 21 11:43:00 CST 2023","8747","","test_10party_mult","Test_multchamet","","","用例64：主播判断观众是否进入交友房",""
"passed","Fri Jul 21 11:59:39 CST 2023","Fri Jul 21 11:59:56 CST 2023","16649","","test_10party_mult","Test_multchamet","","","用例129：主播端打开赛车游戏",""
"passed","Fri Jul 21 11:31:30 CST 2023","Fri Jul 21 11:31:30 CST 2023","463","","test_10party_mult","Test_multchamet","","","用例23：主播端查看观众端发言",""
"passed","Fri Jul 21 11:31:11 CST 2023","Fri Jul 21 11:31:12 CST 2023","1079","","test_10party_mult","Test_multchamet","","","用例17：观众进入交友房进场消息提醒",""
"passed","Fri Jul 21 11:38:29 CST 2023","Fri Jul 21 11:38:30 CST 2023","815","","test_10party_mult","Test_multchamet","","","用例53：嘉宾查看是否被禁言",""
"passed","Fri Jul 21 11:56:56 CST 2023","Fri Jul 21 11:56:57 CST 2023","958","","test_10party_mult","Test_multchamet","","","用例116：观众端群聊页面上麦",""
"passed","Fri Jul 21 11:55:19 CST 2023","Fri Jul 21 11:55:22 CST 2023","3682","","test_10party_mult","Test_multchamet","","","用例101：观众端群聊页面发送文字",""
"skipped","Fri Jul 21 12:00:55 CST 2023","Fri Jul 21 12:01:29 CST 2023","33832","","test_10party_mult","Test_multchamet","","","用例138：10人交友房主播端打开任务页",""
"passed","Fri Jul 21 11:55:31 CST 2023","Fri Jul 21 11:55:48 CST 2023","16852","","test_10party_mult","Test_multchamet","","","用例106：观众端群聊页面发送chamet表情",""
"passed","Fri Jul 21 11:56:36 CST 2023","Fri Jul 21 11:56:56 CST 2023","20366","","test_10party_mult","Test_multchamet","","","用例114：观众端群聊页面发送拍摄图片",""
"passed","Fri Jul 21 11:45:49 CST 2023","Fri Jul 21 11:47:13 CST 2023","83531","","test_10party_mult","Test_multchamet","","","用例70：通过半屏浮窗查看主播动态",""
"passed","Fri Jul 21 12:01:44 CST 2023","Fri Jul 21 12:01:47 CST 2023","2348","","test_10party_mult","Test_multchamet","","","用例140：10人交友房观众端打开礼物冠名墙",""
"passed","Fri Jul 21 11:59:24 CST 2023","Fri Jul 21 11:59:26 CST 2023","1357","","test_10party_mult","Test_multchamet","","","用例125：观众端群聊页面检查送礼消息",""
"passed","Fri Jul 21 11:29:23 CST 2023","Fri Jul 21 11:29:26 CST 2023","3141","","test_10party_mult","Test_multchamet","","","用例13：交友房封面包含内容--国旗",""
"passed","Fri Jul 21 11:50:33 CST 2023","Fri Jul 21 11:50:49 CST 2023","16065","","test_10party_mult","Test_multchamet","","","用例80：主播私聊页面发送chamet表情",""
"passed","Fri Jul 21 11:44:20 CST 2023","Fri Jul 21 11:45:06 CST 2023","46179","","test_10party_mult","Test_multchamet","","","用例67：观众通过半屏浮窗@主播",""
"passed","Fri Jul 21 11:36:39 CST 2023","Fri Jul 21 11:37:13 CST 2023","34935","","test_10party_mult","Test_multchamet","","","用例50：主播端从交友位移除嘉宾",""
"passed","Fri Jul 21 11:29:01 CST 2023","Fri Jul 21 11:29:06 CST 2023","4364","","test_10party_mult","Test_multchamet","","","用例7：刷新交友房卡片页",""
"passed","Fri Jul 21 11:37:14 CST 2023","Fri Jul 21 11:38:29 CST 2023","74673","","test_10party_mult","Test_multchamet","","","用例52：主播在交友位禁言嘉宾",""
"passed","Fri Jul 21 11:56:56 CST 2023","Fri Jul 21 11:56:56 CST 2023","226","","test_10party_mult","Test_multchamet","","","用例115：主播端群聊页面检查拍摄图片",""
"passed","Fri Jul 21 11:56:20 CST 2023","Fri Jul 21 11:56:21 CST 2023","458","","test_10party_mult","Test_multchamet","","","用例111：主播端群聊页面检查并播放语音消息",""
"passed","Fri Jul 21 11:37:13 CST 2023","Fri Jul 21 11:37:14 CST 2023","528","","test_10party_mult","Test_multchamet","","","用例51：嘉宾查看是否被移出嘉宾位",""
"passed","Fri Jul 21 11:33:52 CST 2023","Fri Jul 21 11:33:53 CST 2023","975","","test_10party_mult","Test_multchamet","","","用例35：主播端查看观众端送礼",""
"passed","Fri Jul 21 11:56:13 CST 2023","Fri Jul 21 11:56:14 CST 2023","419","","test_10party_mult","Test_multchamet","","","用例109：观众端群聊页面查看是否收到google表情",""
"passed","Fri Jul 21 11:35:14 CST 2023","Fri Jul 21 11:35:26 CST 2023","11593","","test_10party_mult","Test_multchamet","","","用例43：嘉宾端打开个人主页浮窗",""
"passed","Fri Jul 21 11:36:06 CST 2023","Fri Jul 21 11:36:20 CST 2023","14483","","test_10party_mult","Test_multchamet","","","用例46：嘉宾离开交友位",""
"passed","Fri Jul 21 11:28:37 CST 2023","Fri Jul 21 11:28:51 CST 2023","13896","","test_10party_mult","Test_multchamet","","","用例2：默认交友房预览页为10人房",""
"passed","Fri Jul 21 11:44:18 CST 2023","Fri Jul 21 11:44:20 CST 2023","1813","","test_10party_mult","Test_multchamet","","","用例66：主播检查是否收到观众的礼物",""
"passed","Fri Jul 21 11:39:33 CST 2023","Fri Jul 21 11:39:54 CST 2023","20666","","test_10party_mult","Test_multchamet","","","用例59：主播邀请观众上麦，观众关闭上麦邀请",""
"passed","Fri Jul 21 11:34:52 CST 2023","Fri Jul 21 11:35:08 CST 2023","15854","","test_10party_mult","Test_multchamet","","","用例39：观众端申请上麦(通过加入按钮)",""
"passed","Fri Jul 21 11:47:13 CST 2023","Fri Jul 21 11:47:53 CST 2023","40383","","test_10party_mult","Test_multchamet","","","用例71：通过半屏浮窗给主播打视频通话",""
"passed","Fri Jul 21 11:55:14 CST 2023","Fri Jul 21 11:55:14 CST 2023","324","","test_10party_mult","Test_multchamet","","","用例99：观众检查私信接收",""
"passed","Fri Jul 21 11:32:14 CST 2023","Fri Jul 21 11:32:17 CST 2023","2774","","test_10party_mult","Test_multchamet","","","用例29：主播端消息区聊天消息可上滑",""
"passed","Fri Jul 21 11:52:54 CST 2023","Fri Jul 21 11:53:06 CST 2023","11979","","test_10party_mult","Test_multchamet","","","用例94：观众端左右滑动私聊礼物页面",""
"passed","Fri Jul 21 11:55:22 CST 2023","Fri Jul 21 11:55:27 CST 2023","4673","","test_10party_mult","Test_multchamet","","","用例102：主播端进入群聊页面",""
"passed","Fri Jul 21 11:58:22 CST 2023","Fri Jul 21 11:58:23 CST 2023","999","","test_10party_mult","Test_multchamet","","","用例123：主播端群聊页面检查送礼消息",""
"passed","Fri Jul 21 11:56:58 CST 2023","Fri Jul 21 11:57:14 CST 2023","15991","","test_10party_mult","Test_multchamet","","","用例118：观众端群聊页面发送钻石包",""
"passed","Fri Jul 21 11:52:13 CST 2023","Fri Jul 21 11:52:14 CST 2023","179","","test_10party_mult","Test_multchamet","","","用例91：观众检查是否收到相机照片",""
"passed","Fri Jul 21 11:39:24 CST 2023","Fri Jul 21 11:39:24 CST 2023","41","","test_10party_mult","Test_multchamet","","","用例56：观众收到上麦邀请检查",""
"passed","Fri Jul 21 11:51:34 CST 2023","Fri Jul 21 11:51:37 CST 2023","2809","","test_10party_mult","Test_multchamet","","","用例87：观众端开启私聊界面翻译功能",""
"passed","Fri Jul 21 11:39:24 CST 2023","Fri Jul 21 11:39:26 CST 2023","2923","","test_10party_mult","Test_multchamet","","","用例57：主播邀请观众上麦，观众同意上麦",""
"passed","Fri Jul 21 11:35:13 CST 2023","Fri Jul 21 11:35:14 CST 2023","1130","","test_10party_mult","Test_multchamet","","","用例42：观众端查看是否成功上麦",""
"passed","Fri Jul 21 11:32:17 CST 2023","Fri Jul 21 11:32:24 CST 2023","6987","","test_10party_mult","Test_multchamet","","","用例30：主播端打开送礼物弹窗",""
"passed","Fri Jul 21 11:33:53 CST 2023","Fri Jul 21 11:34:36 CST 2023","43034","","test_10party_mult","Test_multchamet","","","用例36：观众端给所有嘉宾送礼",""
"passed","Fri Jul 21 11:38:30 CST 2023","Fri Jul 21 11:39:16 CST 2023","46404","","test_10party_mult","Test_multchamet","","","用例54：主播给嘉宾解除禁言",""
"passed","Fri Jul 21 11:55:27 CST 2023","Fri Jul 21 11:55:31 CST 2023","3660","","test_10party_mult","Test_multchamet","","","用例104：主播在交友房群聊中发送消息",""
"passed","Fri Jul 21 11:39:26 CST 2023","Fri Jul 21 11:39:33 CST 2023","6915","","test_10party_mult","Test_multchamet","","","用例58：主播端检查观众是否成功上麦",""
"passed","Fri Jul 21 11:51:10 CST 2023","Fri Jul 21 11:51:32 CST 2023","22071","","test_10party_mult","Test_multchamet","","","用例84：主播私聊页面发送Facebook表情",""
"broken","Fri Jul 21 11:52:31 CST 2023","Fri Jul 21 11:52:53 CST 2023","22134","","test_10party_mult","Test_multchamet","","","用例93：主播私聊界面发拨打语音聊天",""
"passed","Fri Jul 21 11:29:06 CST 2023","Fri Jul 21 11:29:14 CST 2023","8669","","test_10party_mult","Test_multchamet","","","用例8：上下滑动交友房卡片页",""
"passed","Fri Jul 21 11:50:17 CST 2023","Fri Jul 21 11:50:17 CST 2023","225","","test_10party_mult","Test_multchamet","","","用例77：观众查看是否收到消息",""
"passed","Fri Jul 21 11:55:14 CST 2023","Fri Jul 21 11:55:19 CST 2023","4627","","test_10party_mult","Test_multchamet","","","用例100：观众端进入群聊页面",""
"passed","Fri Jul 21 11:57:20 CST 2023","Fri Jul 21 11:57:23 CST 2023","3380","","test_10party_mult","Test_multchamet","","","用例120：主播端群聊页面领取钻石包",""
"passed","Fri Jul 21 11:31:14 CST 2023","Fri Jul 21 11:31:15 CST 2023","1025","","test_10party_mult","Test_multchamet","","","用例19：主播检查观众进场消息提醒",""
"passed","Fri Jul 21 11:59:34 CST 2023","Fri Jul 21 11:59:39 CST 2023","4646","","test_10party_mult","Test_multchamet","","","用例128：主播端更换交友房背景(等级限制背景)",""
"passed","Fri Jul 21 11:59:29 CST 2023","Fri Jul 21 11:59:34 CST 2023","5698","","test_10party_mult","Test_multchamet","","","用例127：主播端更换交友房背景(免费背景)",""
"passed","Fri Jul 21 11:53:49 CST 2023","Fri Jul 21 11:54:34 CST 2023","44371","","test_10party_mult","Test_multchamet","","","用例97：观众端私聊页面打开个人主页浮窗",""
"passed","Fri Jul 21 11:51:10 CST 2023","Fri Jul 21 11:51:10 CST 2023","223","","test_10party_mult","Test_multchamet","","","用例83：主播查看是否收到Facebook表情",""
"passed","Fri Jul 21 12:00:51 CST 2023","Fri Jul 21 12:00:55 CST 2023","4169","","test_10party_mult","Test_multchamet","","","用例137：10人交友房主播端关闭麦克风",""
"passed","Fri Jul 21 11:51:33 CST 2023","Fri Jul 21 11:51:34 CST 2023","1011","","test_10party_mult","Test_multchamet","","","用例86：观众展开私聊页面下拉按钮",""
"passed","Fri Jul 21 11:28:51 CST 2023","Fri Jul 21 11:28:54 CST 2023","2706","","test_10party_mult","Test_multchamet","","","用例3：主播创建10人交友房",""
"passed","Fri Jul 21 11:31:12 CST 2023","Fri Jul 21 11:31:14 CST 2023","1549","","test_10party_mult","Test_multchamet","","","用例18：观众端交友房警告消息检查",""
"passed","Fri Jul 21 11:28:54 CST 2023","Fri Jul 21 11:29:01 CST 2023","6772","","test_10party_mult","Test_multchamet","","","用例6：观众进入交友房页签",""
"passed","Fri Jul 21 11:53:48 CST 2023","Fri Jul 21 11:53:49 CST 2023","833","","test_10party_mult","Test_multchamet","","","用例96：主播端检查私聊页面送礼",""
"passed","Fri Jul 21 11:40:37 CST 2023","Fri Jul 21 11:42:19 CST 2023","102025","","test_10party_mult","Test_multchamet","","","用例62：观众进入主播个人主页",""
"passed","Fri Jul 21 11:29:20 CST 2023","Fri Jul 21 11:29:23 CST 2023","3151","","test_10party_mult","Test_multchamet","","","用例12：交友房封面包含内容--用户名",""
"skipped","Fri Jul 21 11:29:20 CST 2023","Fri Jul 21 11:29:20 CST 2023","0","","test_10party_mult","Test_multchamet","","","用例11：交友房封面包含内容--语言",""
"passed","Fri Jul 21 11:31:46 CST 2023","Fri Jul 21 11:32:06 CST 2023","19641","","test_10party_mult","Test_multchamet","","","用例26：观众端消息区聊天消息可下滑",""
"passed","Fri Jul 21 12:01:48 CST 2023","Fri Jul 21 12:04:33 CST 2023","164462","","test_10party_mult","Test_multchamet","","","用例142：主播退出10人交友房",""
"passed","Fri Jul 21 11:55:27 CST 2023","Fri Jul 21 11:55:27 CST 2023","280","","test_10party_mult","Test_multchamet","","","用例103：主播查看群消息",""
"passed","Fri Jul 21 11:55:48 CST 2023","Fri Jul 21 11:56:13 CST 2023","25083","","test_10party_mult","Test_multchamet","","","用例108：主播端群聊页面发送google表情",""
"passed","Fri Jul 21 11:51:37 CST 2023","Fri Jul 21 11:51:55 CST 2023","18283","","test_10party_mult","Test_multchamet","","","用例88：观众私聊界面发送相册照片",""
